codigo,nombre,precio_publico,pv_publico,precio_afiliado,pv_afiliado,precio_junior,pv_junior,precio_senior,pv_senior,precio_master,pv_master
A01,Calcio Nutritivo - Viokal,96,0,73.5,16,69.83,15.2,67.62,14.72,62.48,13.6
A02,Calcio Dietetico - VioKal diet,125,0,96.5,21,91.68,19.95,88.78,19.32,82.03,17.85
A03,Calcio para niños - Viokal plus,96,0,73.5,16,69.83,15.2,67.62,14.72,62.48,13.6
A05,Te Tianshi,96,0,73.5,16,69.83,15.2,67.62,14.72,62.48,13.6
A06,Cordyceps,203,0,156,34,148.2,32.3,143.52,31.28,132.6,28.9
A07,Chitosa,206,0,158.5,34.5,150.58,32.78,145.82,31.74,134.73,29.33
A08,Espirulina,140,0,108,23.5,102.6,22.33,99.36,21.62,91.8,19.98
A09,Extracto de Uva,227,0,174.5,38,165.78,36.1,160.54,34.96,148.33,32.3
A10,Jiaogulan Plus,182,0,140,30.5,133,28.98,128.8,28.06,119,25.93
A11,Tocolecic,173,0,133,29,126.35,27.55,122.36,26.68,113.05,24.65
A13,Suplemento de Zinc,66,0,50.5,11,47.98,10.45,46.46,10.12,42.93,9.35
A32,Aceite de Shaji,260,0,200,34,190,32.3,184,31.28,170,28.9
A39,Te Milenario,96,0,73.5,16,69.83,15.2,67.62,14.72,62.48,13.6
A50,Viokal con Lecitina frasco x 30 cap,60,0,46,10,43.7,9.5,42.32,9.2,39.1,8.5
A51,Total Flex,114.4,0,88,17,83.6,16.15,81,15.64,74.8,14.45
A73,Selenio Plus,113,0,87,19,82.65,18.05,80.04,17.48,73.95,16.15
A74,Fos Syrup,38,0,29.5,5,28.03,4.75,27.14,4.6,25.08,4.25
A75,Cordycafé,69,0,53,9,50.35,8.55,48.76,8.28,45.05,7.65
A86,FIBRATIENS Tabletas masticables,138,0,106,18,100.7,17.1,97.52,16.56,90.1,15.3
A88,Jugo concentrado de Jujube,189,0,145,24.5,137.75,23.28,133.4,22.54,123.25,20.83
A89,Tiens Bebida de Fibra Prebiotica,215,0,165,24,156.75,22.8,151.8,22.08,140.25,20.4
A92,Tiens Energy,160,0,123,20,116.85,19,113.16,18.4,104.55,17
A93,Tiens Colageno forte + ginseng,152,0,117,17,111.15,16.15,107.64,15.64,99.45,14.45
B05,Masajeador de Circulacion Sanguinea,3141,0,2416,468,2295.2,444.6,2222.72,430.56,2053.6,397.8
B27,Masajeador Capilar Multifuncional,751,0,578,105,549.1,99.75,531.76,96.6,491.3,89.25
B33,Generador de Agua desinfectante,966,0,743,108,705.85,102.6,683.56,99.36,631.55,91.8
C52,Marine & Yeast Extract Hydra Cleanser,81,0,62,9,58.9,8.55,57.04,8.28,52.7,7.65
C53,Marine & Yeast Extract Hydra Petal Lotion,161,0,124,18,117.8,17.1,114.08,16.56,105.4,15.3
C54,Marine & Yeast Extract Hydra Eye Essence,139,0,107,15.6,101.65,14.82,98.44,14.35,90.95,13.26
C55,Marine & Yeast Extract Hydra Facial Essence,174,0,134,19.5,127.3,18.53,123.28,17.94,113.9,16.58
C56,Marine & Yeast Extract Hydra Defending Emulsion,153,0,118,17.1,112.1,16.25,108.56,15.73,100.3,14.54
C57,Marine & Yeast Extract Hydra All-in-Cream,204,0,157,22.8,149.15,21.66,144.44,20.98,133.45,19.38
F17,Set de Toallas Higiénicas Airiz,86,0,66,8,62.7,7.6,60.72,7.36,56.1,6.8
F17-1,Toallas Higiénicas de día Airiz,14,0,10.5,1.3,9.98,1.24,9.66,1.2,8.93,1.11
F17-2,Toallas Higiénicas de noche Airiz,16,0,12.5,1.5,11.88,1.43,11.5,1.38,10.63,1.28
F17-3,Protector Diario Airiz,18,0,14,1.7,13.3,1.62,12.88,1.56,11.9,1.45
F18,Pasta Dental Herbal Orecare,36,0,27.5,6,26.13,5.7,25.3,5.52,23.38,5.1
F24,Pasta Blanqueadora Herbal 5 Orecare,39,0,30,6.5,28.5,6.18,27.6,5.98,25.5,5.53
